MasterFile,KABCO_Mod,Mode,Disadvantaged Com ID,MannerofCollision_Real,CollisionDate,CollisionTime,ParkingLotIndicator,IntersectionWith_Indicator_,Milepoint,NumberInjured,NumberKilled,ofUnits,ofMotorVeh,Hit&RunIndicator,OneWayIndicator,InCityLimitsIndicator,Latitude,Longitude,MannerofCollisionCode,TotalLanes,RoadwayCharacterCode,RoadwaySurfaceCode,RoadwayConditionCode,WeatherCode,LightConditionCode,FirstAidSceneIndicator,TimeNotified,TimeArrived,MedianCros,YR,KABCO,Motorcyclist,CommercialVehicle,YoungDriver,MatureDriver,Pedestrian,Bicyclist,Distracted,agressive,Impaired,Unrestrain,RoadwayDep,MedXover
72387881,O,Motor Vehicle,Non DAC,,20190802,1444.0,N,N,0.283,0,0,2,2.0,N,N,Y,37.65021,-84.77666,6.0,2.0,6.0,1.0,1.0,2.0,2.0,N,1444,1456,N,2019.0,O,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0
72388166,O,Motor Vehicle,DAC,,20190802,1105.0,N,Y,0.149,0,0,2,2.0,N,N,Y,37.64355,-84.77104,1.0,2.0,6.0,1.0,1.0,2.0,2.0,N,1105,1108,N,2019.0,O,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
72388562,O,Motor Vehicle,DAC,REAR END,20190801,1212.0,N,Y,3.459,0,0,2,2.0,N,N,Y,37.61765,-84.77464,5.0,4.0,6.0,1.0,1.0,2.0,2.0,N,1212,1213,N,2019.0,O,0,0,0,0,0,0,1,1,0,0.0,0.0,0.0
72388589,O,Motor Vehicle,DAC,SIDESWIPE-SAME DIRECTION,20190803,1155.0,N,N,0.022,0,0,2,2.0,N,N,Y,37.61642,-84.77401,8.0,2.0,1.0,1.0,1.0,2.0,2.0,N,1155,1205,N,2019.0,O,0,0,0,1,0,0,1,1,0,0.0,1.0,0.0
72388909,O,Motor Vehicle,Non DAC,,20190729,1137.0,N,N,0.062,0,0,2,2.0,Y,N,Y,37.64215,-84.76306,8.0,0.0,6.0,1.0,1.0,2.0,2.0,N,1152,1154,N,2019.0,H,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0
72389223,O,Motor Vehicle,DAC,REAR END,20190723,1050.0,N,Y,3.442,0,0,2,2.0,N,N,Y,37.61745,-84.77445,5.0,2.0,6.0,1.0,1.0,2.0,2.0,N,1049,1050,N,2019.0,O,0,0,1,0,0,0,1,0,0,0.0,0.0,0.0
72389514,O,Motor Vehicle,Non DAC,,20190806,1311.0,N,Y,3.196,0,0,1,1.0,N,N,Y,37.64856,-84.80318,9.0,8.0,6.0,1.0,1.0,2.0,2.0,N,1311,1313,N,2019.0,O,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
72389768,O,Motor Vehicle,DAC,ANGLE,20190806,1659.0,N,N,0.017,0,0,2,2.0,Y,N,Y,37.61722,-84.78177,1.0,2.0,6.0,1.0,1.0,2.0,2.0,N,1659,1700,N,2019.0,O,0,0,0,0,0,0,1,1,0,0.0,0.0,0.0
72389769,O,Motor Vehicle,DAC,REAR END,20190806,1707.0,N,N,3.374,0,0,2,2.0,N,N,Y,37.61644,-84.77457,5.0,5.0,6.0,1.0,1.0,2.0,2.0,N,1707,1707,N,2019.0,O,0,0,0,1,0,0,1,1,0,0.0,0.0,0.0
72389845,O,Motor Vehicle,DAC,,20190806,625.0,N,Y,13.599,0,0,2,2.0,N,N,Y,37.64571,-84.77083,1.0,4.0,6.0,1.0,1.0,2.0,1.0,N,625,625,N,2019.0,O,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0
